model,profile,structured_output,scenario,raw_output,status,parsed,valid,expected_match,latency_ms
Qwen3.5-2B,Reactive,True,intruder_healthy_1,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,159.5
Qwen3.5-2B,Reactive,True,intruder_healthy_2,"{""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,1,225.1
Qwen3.5-2B,Reactive,True,intruder_healthy_3,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,225.5
Qwen3.5-2B,Reactive,True,intruder_healthy_4,"{""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,1,214.1
Qwen3.5-2B,Reactive,True,quiet_1,"{""action"":""HoldPosition"",""arg"":""""}",ok,1,1,0,183.1
Qwen3.5-2B,Reactive,True,quiet_2,"{""action"":""HoldPosition"",""arg"":""""}",ok,1,1,0,164.1
Qwen3.5-2B,Reactive,True,quiet_3,"{""action"":""HoldPosition"",""arg"":""""}",ok,1,1,0,181.1
Qwen3.5-2B,Reactive,True,report_warehouse,"{""action"":""Investigate"",""arg"":""Warehouse""}",ok,1,1,1,171.9
Qwen3.5-2B,Reactive,True,report_courtyard,"{""action"":""Investigate"",""arg"":""Courtyard""}",ok,1,1,1,196.4
Qwen3.5-2B,Reactive,True,report_gate,"{""action"":""Investigate"",""arg"":""Gate""}",ok,1,1,1,184.2
Qwen3.5-2B,Reactive,True,report_hurt_no_intruder,"{""action"":""Investigate"",""arg"":""Warehouse""}",ok,1,1,1,188.8
Qwen3.5-2B,Reactive,True,report_gate_hurt,"{""action"":""Investigate"",""arg"":""Gate""}",ok,1,1,1,186.6
Qwen3.5-2B,Reactive,True,hurt_intruder_1,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,0,209.9
Qwen3.5-2B,Reactive,True,hurt_intruder_2,"{""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,0,232.4
Qwen3.5-2B,Reactive,True,hurt_intruder_3,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,0,208.6
Qwen3.5-2B,Reactive,True,borderline_healthy,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,209.9
Qwen3.5-2B,Reactive,False,intruder_healthy_1,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,140.9
Qwen3.5-2B,Reactive,False,intruder_healthy_2,"{""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,1,204.2
Qwen3.5-2B,Reactive,False,intruder_healthy_3,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,230.9
Qwen3.5-2B,Reactive,False,intruder_healthy_4,"{""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,1,206.0
Qwen3.5-2B,Reactive,False,quiet_1,"{""action"":""HoldPosition"",""arg"":""""}",ok,1,1,0,158.9
Qwen3.5-2B,Reactive,False,quiet_2,"{""action"":""HoldPosition"",""arg"":""""}",ok,1,1,0,161.5
Qwen3.5-2B,Reactive,False,quiet_3,"{""action"":""HoldPosition"",""arg"":""""}",ok,1,1,0,159.5
Qwen3.5-2B,Reactive,False,report_warehouse,"{""action"":""Investigate"",""arg"":""Warehouse""}",ok,1,1,1,170.4
Qwen3.5-2B,Reactive,False,report_courtyard,"{""action"":""Investigate"",""arg"":""Courtyard""}",ok,1,1,1,177.2
Qwen3.5-2B,Reactive,False,report_gate,"{""action"":""Investigate"",""arg"":""Gate""}",ok,1,1,1,178.2
Qwen3.5-2B,Reactive,False,report_hurt_no_intruder,"{""action"":""Investigate"",""arg"":""Warehouse""}",ok,1,1,1,189.1
Qwen3.5-2B,Reactive,False,report_gate_hurt,"{""action"":""Investigate"",""arg"":""Gate""}",ok,1,1,1,183.5
Qwen3.5-2B,Reactive,False,hurt_intruder_1,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,0,209.8
Qwen3.5-2B,Reactive,False,hurt_intruder_2,"{""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,0,221.5
Qwen3.5-2B,Reactive,False,hurt_intruder_3,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,0,225.5
Qwen3.5-2B,Reactive,False,borderline_healthy,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,226.0
Qwen3.5-2B,Deliberative,True,intruder_healthy_1,"{""reason"":""Intruder_01 is visible and hostile."",""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,266.8
Qwen3.5-2B,Deliberative,True,intruder_healthy_2,"{""reason"":""Intruder_02 is visible and hostile."",""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,1,336.9
Qwen3.5-2B,Deliberative,True,intruder_healthy_3,"{""reason"":""Intruder_01 is visible within 2.1m range."",""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,360.8
Qwen3.5-2B,Deliberative,True,intruder_healthy_4,"{""reason"":""A hostile intruder is visible within 5.5m."",""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,1,331.0
Qwen3.5-2B,Deliberative,True,quiet_1,"{""reason"":""Patrol route is ongoing, no new targets detected."",""action"":""HoldPosition"",""arg"":""""}",ok,1,1,0,279.9
Qwen3.5-2B,Deliberative,True,quiet_2,"{""reason"":""Patrol route is ongoing, no new targets detected."",""action"":""HoldPosition"",""arg"":""""}",ok,1,1,0,255.8
